"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"2C45VUZR","book","1981","Մովսես Խորենացի [Movses Xorenac῾i]","Հայոց Պատմություն [History of the Armenians]","","","","","https://artsakhlib.am/wp-content/uploads/2020/09/%D5%84%D5%B8%D5%BE%D5%BD%D5%A5%D5%BD-%D4%BD%D5%B8%D6%80%D5%A5%D5%B6%D5%A1%D6%81%D5%AB-%D5%80%D5%A1%D5%B5%D5%B8%D6%81-%D5%BA%D5%A1%D5%BF%D5%B4%D5%B8%D6%82%D5%A9%D5%B5%D5%B8%D6%82%D5%B6.pdf?utm_source","","1981","2026-01-30 12:22:19","2026-02-05 19:10:43","","","","","","","","","","","","","Երևանի Համալսարանի Հրատարակչություն","Երևան [Yerevan]","հայերեն [Armenian]","","","","","","","Edition, introduction and annotations by Մալխասյան [Malxasyan] Ստեփան [Step῾an]","","","","Armenian identity; Armenian pagan gods (Aramazd Anahit Vahagn Mihr Astghik Nane Tir); Arsacid / Arshakuni dynasty; Bagratunis / Bagratid dynasty; Eusebius of Caesarea; Historiography; History; Mamikonyans; Mar Aba Catina; Movsēs Xorenac'i [Moses Khorenatsi, Moses of Khorene]; Origin myths; Pre-Christian Armenia; Primary Sources [Grabar]; VIII Century; Մովսես Խորենացի | Մովսէս Խորենացի | Мовсес Хоренаци | Моисей Хоренский |  Movses Khorenatsi |  Moses of Khoren | Moïse de Khorène | Movszesz Chorenaci | Khorenats'i Moses | Moses Chorenazi | Moses von Choren","","Համբարձումյան [Hambarjowmyan], Ս. Ա. [S. A.]","","Մալխասյան [Malxasyan], Ստեփան [Step῾an]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C35TAWVP","book","1978","Moses Khorenats῾i","History of the Armenians","","0-674-39571-9","","","https://openlibrary.org/works/OL866117W/Patmut%CA%BBiwn_Hayots%CA%BB","","1978","2026-01-30 12:22:19","2026-02-05 16:32:36","","","","","","","","","","","","","Harvard University  Press","Cambridge, Massassuchetts /  London","English","","","/z-wcorg/","","http://worldcat.org","","","","","","Armenian identity; Armenian pagan gods (Aramazd Anahit Vahagn Mihr Astghik Nane Tir); Arsacid / Arshakuni dynasty; Bagratunis / Bagratid dynasty; Eusebius of Caesarea; Historiography; Mamikonyans; Mar Aba Catina; Medieval Armenian nakharars; Origin myths; Pre-Christian Armenia; Primary Sources [Grabar] - English translation; V Century; VIII Century; Մովսես Խորենացի | Մովսէս Խորենացի | Мовсес Хоренаци | Моисей Хоренский |  Movses Khorenatsi |  Moses of Khoren | Moïse de Khorène | Movszesz Chorenaci | Khorenats'i Moses | Moses Chorenazi | Moses von Choren","","","","Thomson, Robert W.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WFRPLTZH","book","1865","Մովսէս Խորենացի [Movsês Xorenac῾i]","Սրբոյ Հօրն մերոյ Մովսէսի Խորենացւոյ Մատենագրութիւնք [Bibliography of our holy father Movsês Xorenac῾i]","","","","","http://greenstone.flib.sci.am/gsdl/collect/haygirq/book/matenagrutyunq1865.pdf","","1865","2026-01-30 12:22:19","2026-02-05 17:38:31","","","","","","","","","Մատենագրութիւնք նախնեաց","","","","ի տպարանի սրբոյն Ղազարու","Վենետիկ [Venice]","Armenian","","","","","","","","","","","Armenian Geography; Armenian History; Armenian identity; Armenian pagan gods (Aramazd Anahit Vahagn Mihr Astghik Nane Tir); Arsacid / Arshakuni dynasty; Ašxarhac’oyc’; Bagratunis / Bagratid dynasty; Historiography; Late Antiquity; Mamikonyans; Mar Aba Catina; Movsēs Xorenac'i [Moses Khorenatsi, Moses of Khorene]; Origin myths; Pre-Christian Armenia; Primary Sources [Grabar]; Sahak; V Century; VIII Century; Մովսես Խորենացի | Մովսէս Խորենացի | Мовсес Хоренаци | Моисей Хоренский |  Movses Khorenatsi |  Moses of Khoren | Moïse de Khorène | Movszesz Chorenaci | Khorenats'i Moses | Moses Chorenazi | Moses von Choren","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KGAVG76B","bookSection","1977","Համբարձումյան [Hambarjowmyan], Վ. Հ. [V. H.]","Հայ մշակույթի անմար աստղը [The eternal star of Armenian culture]","Ներսես Շնորհալի (հոդվածների ժողովածու) [Nerses Šnorhali (Collection of articles)]","","","","https://archive.org/details/Shnorhali1977/page/n5/mode/2up","","1977","2026-02-01 23:38:06","2026-02-03 13:03:18","","6-8","","","","","","","","","","","Հայկական ՍՍՀ ԳԱ Հրատարակչություն","Երևան [Yerevan]","հայերեն [Armenian]","","","","","","","","","","","Nerses Shnorhali, Nersēs Shnorhali, Nersēs Shnorhali Klayetsʻi, Nerses; Nerses Šnorhali, Nersês Šnorhali, Nersês Šnorhali Klayec῾i; XII Century; Ներսես Շնորհալի, Ներսէս Շնորհալի, Ներսէս Շնորհալի Կլայեցի, Нерсес Шнорали, Nerses","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIBIWZ7T","bookSection","1977","Նալբանդյան [Nalbandyan], Վ. Ս. [V. S.]","Միջնադարի մեծ բանաստեղծն ու մտածողը [The great poet and thinker of the Middle Ages]","Ներսես Շնորհալի (հոդվածների ժողովածու) [Nerses Šnorhali (Collection of articles)]","","","","https://archive.org/details/Shnorhali1977/page/n9/mode/2up","","1977","2026-02-02 00:11:25","2026-02-05 17:42:57","","9-36","","","","","","","","","","","Հայկական ՍՍՀ ԳԱ Հրատարակչություն","Երևան [Yerevan]","հայերեն [Armenian]","","","","","","","","","","","Nerses Shnorhali, Nersēs Shnorhali, Nersēs Shnorhali Klayetsʻi, Nerses; Nerses Šnorhali, Nersês Šnorhali, Nersês Šnorhali Klayec῾i; Poetry; XII Century; Ներսես Շնորհալի, Ներսէս Շնորհալի, Ներսէս Շնորհալի Կլայեցի, Нерсес Шнорали, Nerses","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8USMXHCE","bookSection","1977","Ավդալբեգյան [Avdalbegyan], Մ. Թ. [M. T῾.]","Ներսես Շնորհալի մանկավարժն ու մանկագիրը [Nerses Šnorhali, the pedagogue and children's writer]","Ներսես Շնորհալի (հոդվածների ժողովածու) [Nerses Šnorhali (Collection of articles)]","","","","https://archive.org/details/Shnorhali1977/page/n52/mode/2up","","1977","2026-02-02 01:17:01","2026-02-05 17:44:09","","52-66","","","","","","","","","","","Հայկական ՍՍՀ ԳԱ Հրատարակչություն","Երևան [Yerevan]","հայերեն [Armenian]","","","","","","","","","","","Medieval Armenian pedagogy; Nerses Shnorhali, Nersēs Shnorhali, Nersēs Shnorhali Klayetsʻi, Nerses; Nerses Šnorhali, Nersês Šnorhali, Nersês Šnorhali Klayec῾i; XII Century; Ներսես Շնորհալի, Ներսէս Շնորհալի, Ներսէս Շնորհալի Կլայեցի, Нерсес Шнорали, Nerses","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LCFLVXYD","bookSection","1977","Նազարյան [Nazaryan], Շ. Լ. [Š. L.]","Ներսես Շնորհալու կերպարը միջնադարյան գեղարվեստական գրականության մեջ [The image of Nerses Šnorhali in medieval fiction]","Ներսես Շնորհալի (հոդվածների ժողովածու) [Nerses Šnorhali (Collection of articles)]","","","","https://archive.org/details/Shnorhali1977/page/n67/mode/2up","","1977","2026-02-02 01:17:01","2026-02-03 13:04:01","","67-82","","","","","","","","","","","Հայկական ՍՍՀ ԳԱ Հրատարակչություն","Երևան [Yerevan]","հայերեն [Armenian]","","","","","","","","","","","Nerses Shnorhali, Nersēs Shnorhali, Nersēs Shnorhali Klayetsʻi, Nerses; Nerses Šnorhali, Nersês Šnorhali, Nersês Šnorhali Klayec῾i; XII Century; Ներսես Շնորհալի, Ներսէս Շնորհալի, Ներսէս Շնորհալի Կլայեցի, Нерсес Шнорали, Nerses","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZB7I9L2V","bookSection","1977","Ղանալանյան [Łanalanyan], Ա. Տ. [A. T.]","Ներսես Շնորհալին ժողովրդական ավանդություններում [Nerses Šnorhali in folk traditions]","Ներսես Շնորհալի (հոդվածների ժողովածու) [Nerses Šnorhali (Collection of articles)]","","","","https://archive.org/details/Shnorhali1977/page/n83/mode/2up","","1977","2026-02-02 01:17:01","2026-02-03 13:03:30","","83-85","","","","","","","","","","","Հայկական ՍՍՀ ԳԱ Հրատարակչություն","Երևան [Yerevan]","հայերեն [Armenian]","","","","","","","","","","","Nerses Shnorhali, Nersēs Shnorhali, Nersēs Shnorhali Klayetsʻi, Nerses; Nerses Šnorhali, Nersês Šnorhali, Nersês Šnorhali Klayec῾i; XII Century; Ներսես Շնորհալի, Ներսէս Շնորհալի, Ներսէս Շնորհալի Կլայեցի, Нерсес Шнорали, Nerses","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FVR3HQK8","bookSection","1977","Այվազյան [Ayvazyan], Ղ. Վ. [Ł. V.]","Ներսես Շնորհալու երկերի ռուսերեն թարգմանությունները [Russian translations of the works of Nerses Šnorhali]","Ներսես Շնորհալի (հոդվածների ժողովածու) [Nerses Šnorhali (Collection of articles)]","","","","https://archive.org/details/Shnorhali1977/page/n86/mode/2up","","1977","2026-02-02 01:17:01","2026-02-05 17:31:14","","86-98","","","","","","","","","","","Հայկական ՍՍՀ ԳԱ Հրատարակչություն","Երևան [Yerevan]","հայերեն [Armenian]","","","","","","","","","","","Armenian literature in translation; Ecclesiastical literature; Nerses Shnorhali, Nersēs Shnorhali, Nersēs Shnorhali Klayetsʻi, Nerses; Nerses Šnorhali, Nersês Šnorhali, Nersês Šnorhali Klayec῾i; Theological literature; XII Century; Ներսես Շնորհալի, Ներսէս Շնորհալի, Ներսէս Շնորհալի Կլայեցի, Нерсес Шнорали, Nerses","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42UL6S3S","bookSection","1977","Թահմիզյան [T῾ahmizyan], Ն. Կ. [N. K.]","Արևելյան քրիստոնեական երգարվեստը և Ներսես Շնորհալին [Eastern Christian singing and Nerses Šnorhali]","Ներսես Շնորհալի (հոդվածների ժողովածու) [Nerses Šnorhali (Collection of articles)]","","","","https://archive.org/details/Shnorhali1977/page/n99/mode/2up","","1977","2026-02-02 01:17:01","2026-02-05 17:22:47","","99-121","","","","","","","","","","","Հայկական ՍՍՀ ԳԱ Հրատարակչություն","Երևան [Yerevan]","հայերեն [Armenian]","","","","","","","","","","","Eastern Christian music; Nerses Shnorhali, Nersēs Shnorhali, Nersēs Shnorhali Klayetsʻi, Nerses; Nerses Šnorhali, Nersês Šnorhali, Nersês Šnorhali Klayec῾i; XII Century; Ներսես Շնորհալի, Ներսէս Շնորհալի, Ներսէս Շնորհալի Կլայեցի, Нерсес Шнорали, Nerses","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
